Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,676.0,8.0,80.0,1510.0,0.0,58.205999999999996,0.0,0.0,212.38695454597473,,,,,,,,,,,,,,,,,,,,,23.090186479749427,17.736261793499246,56.415200281901946,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,738.0,9.0,62.0,1572.0,0.0,41.004,0.0,0.0,219.895437002182,,,,,,,,,,,,,,,,,,,,,18.82298087151901,13.979167507380533,39.876852038003825,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,798.0,10.0,60.0,1632.0,0.0,39.30500000000001,0.0,0.0,226.82449197769165,,,,,,,,,,,,,,,,,,,,,13.368538876324925,12.730331141392616,38.54142909651703,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,838.0,11.0,40.0,1672.0,0.0,22.904000000000018,0.0,0.0,231.56745719909668,,,,,,,,,,,,,,,,,,,,,7.2992995654725235,7.294939452015963,22.63466268006116,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,862.0,12.0,24.0,1696.0,0.0,1.8059999999999998,0.0,0.0,234.7221257686615,,,,,,,,,,,,,,,,,,,,,0.7137985071898211,0.6053351258331456,1.7906594953227672,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,927.0,13.0,65.0,1761.0,0.0,21.00700000000003,0.0,0.0,242.61485314369202,,,,,,,,,,,,,,,,,,,,,8.009718561985043,7.192768213150345,20.506875168639624,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,973.0,14.0,46.0,1807.0,0.0,15.104999999999995,0.0,0.0,248.12749481201172,,,,,,,,,,,,,,,,,,,,,7.372097659074853,5.646841689904369,14.780664171854408,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,997.0,15.0,24.0,1831.0,0.0,10.703999999999995,0.0,0.0,251.18132376670837,,,,,,,,,,,,,,,,,,,,,2.9659778198029207,3.352023213299756,10.64345999231705,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,1034.0,16.0,37.0,1868.0,0.0,26.004000000000012,0.0,0.0,255.8448441028595,,,,,,,,,,,,,,,,,,,,,9.556403514259124,8.565069403807886,25.676089159131546,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,1071.0,17.0,37.0,1905.0,0.0,16.607000000000014,0.0,0.0,260.32798624038696,,,,,,,,,,,,,,,,,,,,,4.343000520904854,5.149125589373553,16.462771752479004,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,1106.0,18.0,35.0,1940.0,0.0,22.704000000000015,0.0,0.0,265.06731390953064,,,,,,,,,,,,,,,,,,,,,7.790355425552184,7.512190294896607,22.453791351457134,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1122.0,19.0,16.0,1956.0,0.0,1.2039999999999995,0.0,0.0,267.16251039505005,,,,,,,,,,,,,,,,,,,,,0.48931743947381695,0.40902364907434774,1.1973682892576765,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1152.0,20.0,30.0,1986.0,0.0,12.504999999999994,0.0,0.0,270.86965799331665,,,,,,,,,,,,,,,,,,,,,3.2704799683123693,3.8081379555344608,12.419304905856485,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,56.0,1.0,56.0,2042.0,0.0,41.305,0.0,0.0,354.52004313468933,,,,,,,,,,,,,,,,,,,,,15.532274739098524,13.439107740956462,40.47566828289339,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,80.0,2.0,24.0,2066.0,0.0,10.704999999999995,0.0,0.0,357.44463419914246,,,,,,,,,,,,,,,,,,,,,2.8349699643294954,3.4046871075212617,10.647608329185278,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,132.0,3.0,52.0,2118.0,0.0,22.10600000000002,0.0,0.0,363.7512242794037,,,,,,,,,,,,,,,,,,,,,9.298582928678739,7.769176131232481,21.644117805514227,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,157.0,4.0,25.0,2143.0,0.0,11.303999999999995,0.0,0.0,366.8987979888916,,,,,,,,,,,,,,,,,,,,,3.090101560287809,3.556321333134602,11.237985446439247,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,181.0,5.0,24.0,2167.0,0.0,10.204999999999995,0.0,0.0,369.9164252281189,,,,,,,,,,,,,,,,,,,,,2.6688854657866634,3.1948946253967017,10.15109784666779,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,338.0,6.0,157.0,2324.0,0.0,109.80499999999998,0.0,0.0,388.2168185710907,,,,,,,,,,,,,,,,,,,,,50.47047043048814,32.80575823873524,101.98311926167509,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
