Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
77,3.0,0.0,311.0,17.0,7.0,1211.0,0.0,13.059600010000002,13.059600010000002,0.0,259.5329074859619,,,,,,,,,,,,,,,,7.416666607965033,4.882299375641781,13.0281281384907,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3.0,0.0,317.0,18.0,7.0,1218.0,0.0,14.630606010000001,14.630606010000001,0.0,261.42660093307495,,,,,,,,,,,,,,,,6.4128287058073665,5.006727231062601,14.606735773538693,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3.0,0.0,326.0,19.0,10.0,1228.0,0.0,28.601000010000003,28.601000010000003,0.0,263.4783957004547,,,,,,,,,,,,,,,,14.379975860981055,9.916053002892028,28.500080307558726,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,3.0,0.0,345.0,20.0,20.0,1248.0,0.0,22.031000010000003,22.031000010000003,0.0,266.7791953086853,,,,,,,,,,,,,,,,11.108323615512905,8.123016482067456,21.84178364495021,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4.0,0.0,12.0,1.0,13.0,1261.0,0.0,11.13200001,11.13200001,0.0,289.24417424201965,,,,,,,,,,,,,,,,3.09088823893426,3.264700744191541,11.10601536649929,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4.0,0.0,29.0,2.0,18.0,1279.0,0.0,22.30600001,22.30600001,0.0,292.27578234672546,,,,,,,,,,,,,,,,11.685241226351671,4.912196703213733,22.129480389541566,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,4.0,0.0,53.0,3.0,25.0,1304.0,0.0,37.296400010000006,37.296400010000006,0.0,296.2050185203552,,,,,,,,,,,,,,,,19.36406356774138,9.975033813194147,36.8685310153896,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,4.0,0.0,71.0,4.0,19.0,1323.0,0.0,49.29665001000001,49.29665001000001,0.0,299.3900558948517,,,,,,,,,,,,,,,,20.722780784416827,15.232927843620281,48.972612568448945,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,4.0,0.0,86.0,5.0,16.0,1339.0,0.0,19.568752010000004,19.568752010000004,0.0,302.18727564811707,,,,,,,,,,,,,,,,8.371651617484535,7.063489337479463,19.46263987561335,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,4.0,0.0,96.0,6.0,11.0,1350.0,0.0,22.889450010000004,22.889450010000004,0.0,304.55689430236816,,,,,,,,,,,,,,,,9.977589649222642,6.376182487638166,22.812486600107885,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,4.0,0.0,113.0,7.0,18.0,1368.0,0.0,26.146020010000004,26.146020010000004,0.0,307.6088924407959,,,,,,,,,,,,,,,,11.287314246141856,9.759833987452843,25.98011578359919,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
